business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
10,Tiramisu Kitchen,033 Belden Pl,San Francisco,CA,94104,37.791116,-122.403816,"(37.791116, -122.403816)",,10_20140114,1/14/2014 0:00,92,Routine - Unscheduled,10_20140114_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
10,Tiramisu Kitchen,033 Belden Pl,San Francisco,CA,94104,37.791116,-122.403816,"(37.791116, -122.403816)",,10_20140114,1/14/2014 0:00,92,Routine - Unscheduled,10_20140114_103145,Improper storage of equipment utensils or linens,Low Risk
10,Tiramisu Kitchen,033 Belden Pl,San Francisco,CA,94104,37.791116,-122.403816,"(37.791116, -122.403816)",,10_20140114,1/14/2014 0:00,92,Routine - Unscheduled,10_20140114_103154,Unclean or degraded floors walls or ceilings,Low Risk
10,Tiramisu Kitchen,033 Belden Pl,San Francisco,CA,94104,37.791116,-122.403816,"(37.791116, -122.403816)",,10_20140729,7/29/2014 0:00,94,Routine - Unscheduled,10_20140729_103144,Unapproved or unmaintained equipment or utensils,Low Risk
10,Tiramisu Kitchen,033 Belden Pl,San Francisco,CA,94104,37.791116,-122.403816,"(37.791116, -122.403816)",,10_20140729,7/29/2014 0:00,94,Routine - Unscheduled,10_20140729_103129,Insufficient hot water or running water,Moderate Risk
4864,DRAGON CITY BAKERY & CAFE,2367 MISSION St,San Francisco,CA,94110,37.759174,-122.419066,"(37.759174, -122.419066)",14155829718,4864_20161206,12/6/2016 0:00,84,Routine - Unscheduled,4864_20161206_103157,Food safety certificate or food handler card not available,Low Risk
79782,Deli 23,2449 23rd St,San Francisco,CA,94110,,,,,79782_20160503,5/3/2016 0:00,92,Routine - Unscheduled,79782_20160503_103120,Moderate risk food holding temperature,Moderate Risk
76437,Sweetheart Cafe,909 Grant Ave,San Francisco,CA,94108,,,,,76437_20160329,3/29/2016 0:00,76,Routine - Unscheduled,76437_20160329_103113,Sewage or wastewater contamination,High Risk
5813,LICK MIDDLE SCHOOL,1220 Noe St,San Francisco,CA,94114,37.74949,-122.43175,"(37.74949, -122.43175)",14155816139,5813_20140908,9/8/2014 0:00,100,Routine - Unscheduled,,,
19,Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",San Francisco,CA,94109,37.786848,-122.421547,"(37.786848, -122.421547)",,19_20140214,2/14/2014 0:00,94,Routine - Unscheduled,19_20140214_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
19,Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",San Francisco,CA,94109,37.786848,-122.421547,"(37.786848, -122.421547)",,19_20140214,2/14/2014 0:00,94,Routine - Unscheduled,19_20140214_103156,Permit license or inspection report not posted,Low Risk
19,Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",San Francisco,CA,94109,37.786848,-122.421547,"(37.786848, -122.421547)",,19_20141110,11/10/2014 0:00,94,Routine - Unscheduled,19_20141110_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
19,Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",San Francisco,CA,94109,37.786848,-122.421547,"(37.786848, -122.421547)",,19_20141110,11/10/2014 0:00,94,Routine - Unscheduled,19_20141110_103145,Improper storage of equipment utensils or linens,Low Risk
24,OMNI S.F. Hotel - 2nd Floor Pantry,"500 California St, 2nd  Floor",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,24_20140612,6/12/2014 0:00,96,Routine - Unscheduled,24_20140612_103145,Improper storage of equipment utensils or linens,Low Risk
24,OMNI S.F. Hotel - 2nd Floor Pantry,"500 California St, 2nd  Floor",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,24_20140612,6/12/2014 0:00,96,Routine - Unscheduled,24_20140612_103156,Permit license or inspection report not posted,Low Risk
24,OMNI S.F. Hotel - 2nd Floor Pantry,"500 California St, 2nd  Floor",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,24_20141124,11/24/2014 0:00,96,Routine - Unscheduled,24_20141124_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
38929,Jelly Donut,3198 24th St,San Francisco,CA,94110,37.752439,-122.41625,"(37.752439, -122.41625)",,38929_20160114,1/14/2016 0:00,88,Routine - Unscheduled,38929_20160114_103139,Improper food storage,Low Risk
81161,Limon Peruvian Rotisserie,1001 South Van Ness Ave,San Francisco,CA,94110,,,,14155548833,81161_20160325,3/25/2016 0:00,92,Routine - Unscheduled,81161_20160325_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
85781,Domino's #7764,876 Geary St,San Francisco,CA,94109,,,,,85781_20160311,3/11/2016 0:00,86,Routine - Unscheduled,85781_20160311_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
82880,Don Pablo,Off The Grid,San Francisco,CA,,,,,,82880_20160309,3/9/2016 0:00,,Structural Inspection,82880_20160309_103148,No thermometers or uncalibrated thermometers,Low Risk
89072,Epicurean at Sacred Heart Catholic Prep School,1055 Ellis St,San Francisco,CA,94109,,,,,89072_20161018,10/18/2016 0:00,,Reinspection/Followup,,,
16441,Hawaiian Drive Inn,2600 San Bruno Ave,San Francisco,CA,94134,37.728718,-122.404101,"(37.728718, -122.404101)",,16441_20161206,12/6/2016 0:00,82,Routine - Unscheduled,16441_20161206_103154,Unclean or degraded floors walls or ceilings,Low Risk
6348,Castro Street Chevron,2399 Market St,San Francisco,CA,94114,37.762857,-122.434755,"(37.762857, -122.434755)",14155622570,6348_20151224,12/24/2015 0:00,100,Routine - Unscheduled,,,
2716,RED A BAKERY,634 CLEMENT St,San Francisco,CA,94118,37.782888,-122.466101,"(37.782888, -122.466101)",,2716_20160323,3/23/2016 0:00,57,Routine - Unscheduled,2716_20160323_103131,Moderate risk vermin infestation,Moderate Risk
83589,City Pizza and Burger Inc.,464 Broadway St,San Francisco,CA,94133,,,,,83589_20151013,10/13/2015 0:00,70,Routine - Unscheduled,83589_20151013_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
5813,LICK MIDDLE SCHOOL,1220 Noe St,San Francisco,CA,94114,37.74949,-122.43175,"(37.74949, -122.43175)",14155816139,5813_20140226,2/26/2014 0:00,93,Routine - Unscheduled,5813_20140226_103113,Sewage or wastewater contamination,High Risk
64380,Michael Mina Restaurant,252 California St,San Francisco,CA,94111,37.793338,-122.399583,"(37.793338, -122.399583)",14155350791,64380_20160414,4/14/2016 0:00,86,Routine - Unscheduled,64380_20160414_103154,Unclean or degraded floors walls or ceilings,Low Risk
3594,CELIAS RESTAURANT,4019 JUDAH St,San Francisco,CA,94122,37.760423,-122.505209,"(37.760423, -122.505209)",,3594_20160330,3/30/2016 0:00,88,Routine - Unscheduled,3594_20160330_103133,Foods not protected from contamination,Moderate Risk
87486,Flour Craft Bakery,244 Clement St,San Francisco,CA,94118,,,,14155389180,87486_20161002,10/2/2016 0:00,100,Routine - Unscheduled,,,
5623,AT&T - DOGGIE DINNER Room 5310 [145153],24 5624 Pl,San Francisco,CA,94107,37.778382,-122.391151,"(37.778382, -122.391151)",14155971500,5623_20160814,8/14/2016 0:00,100,Routine - Unscheduled,,,
5493,AT&T - (CART 17) DELI [145105],24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,,14155971500,5493_20160814,8/14/2016 0:00,94,Routine - Unscheduled,5493_20160814_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
69762,Chili House Inc.,726 Clement St,San Francisco,CA,94118,,,,,69762_20160413,4/13/2016 0:00,68,Routine - Unscheduled,69762_20160413_103133,Foods not protected from contamination,Moderate Risk
4469,Boudin Restaurant,160 Jefferson  2nd floor,San Francisco,CA,94133,37.808352,-122.415157,"(37.808352, -122.415157)",,4469_20160804,8/4/2016 0:00,,Reinspection/Followup,,,
2085,KENTUCKY FRIED CHICKEN #249,691 EDDY St,San Francisco,CA,94109,37.783053,-122.418988,"(37.783053, -122.418988)",14155672641,2085_20161109,11/9/2016 0:00,,Reinspection/Followup,,,
69562,flourChylde Bakery,85 Bartlett St,San Francisco,CA,94110,,,,,69562_20160505,5/5/2016 0:00,100,Routine - Unscheduled,,,
62710,Sam's Chowder Mobile,Golden Gate Park,San Francisco,CA,,37.777122,-122.419639,"(37.777122, -122.419639)",,62710_20160511,5/11/2016 0:00,86,Routine - Unscheduled,62710_20160511_103139,Improper food storage,Low Risk
4960,Three Star Restaurant,2515 Noriega St,San Francisco,CA,94122,37.753583,-122.490839,"(37.753583, -122.490839)",,4960_20160413,4/13/2016 0:00,71,Routine - Unscheduled,4960_20160413_103154,Unclean or degraded floors walls or ceilings,Low Risk
74922,Le Marais Bakery,2066 Chestnut St,San Francisco,CA,94123,,,,,74922_20160430,4/30/2016 0:00,82,Routine - Unscheduled,74922_20160430_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
85037,The Temporarim,3414 22nd St,San Francisco,CA,94110,,,,14158420515,85037_20161206,12/6/2016 0:00,90,Routine - Unscheduled,85037_20161206_103152,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
66999,Super Duper Burgers,2201 Chestnut St,San Francisco,CA,94123,37.800344,-122.439697,"(37.800344, -122.439697)",,66999_20160607,6/7/2016 0:00,87,Routine - Unscheduled,66999_20160607_103102,Unclean hands or improper use of gloves,High Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20150827,8/27/2015 0:00,92,Routine - Unscheduled,61_20150827_103133,Foods not protected from contamination,Moderate Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20150827,8/27/2015 0:00,92,Routine - Unscheduled,61_20150827_103142,Unclean nonfood contact surfaces,Low Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20150827,8/27/2015 0:00,92,Routine - Unscheduled,61_20150827_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
4787,TONY BALONEY'S,1098 HOWARD St,San Francisco,CA,94103,37.778033,-122.40943,"(37.778033, -122.40943)",14155861514,4787_20160628,6/28/2016 0:00,83,Routine - Unscheduled,4787_20160628_103131,Moderate risk vermin infestation,Moderate Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20140530,5/30/2014 0:00,94,Routine - Unscheduled,61_20140530_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20140530,5/30/2014 0:00,94,Routine - Unscheduled,61_20140530_103144,Unapproved or unmaintained equipment or utensils,Low Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20140530,5/30/2014 0:00,94,Routine - Unscheduled,61_20140530_103142,Unclean nonfood contact surfaces,Low Risk
70016,Davidstea,3870 24th St,San Francisco,CA,94114,,,,14155280515,70016_20151113,11/13/2015 0:00,98,Routine - Unscheduled,70016_20151113_103139,Improper food storage,Low Risk
59577,Pasta Moto of San Francisco Centre LLC,845 Market St FE6,San Francisco,CA,94103,37.784848,-122.406892,"(37.784848, -122.406892)",,59577_20160502,5/2/2016 0:00,72,Routine - Unscheduled,59577_20160502_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
33700,Casa Guadalupe #3,2999 MISSION,San Francisco,CA,94110,37.749194,-122.418116,"(37.749194, -122.418116)",14155875145,33700_20160412,4/12/2016 0:00,90,Routine - Unscheduled,33700_20160412_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
5631,AT&T -Room 5331 GILROY GARLIC FRIES/view [145161],24 WILLIE MAYS PLAZA 5.24.02,San Francisco,CA,94107,37.778382,-122.391151,"(37.778382, -122.391151)",14155971500,5631_20160814,8/14/2016 0:00,94,Routine - Unscheduled,5631_20160814_103118,Employee eating or smoking,Moderate Risk
5633,AT&T - FIELD CLUB CONCESSION [145185],24 WILLIE MAYS PLAZA 1.09.04,San Francisco,CA,94107,37.778382,-122.391151,"(37.778382, -122.391151)",14155971500,5633_20160814,8/14/2016 0:00,94,Routine - Unscheduled,5633_20160814_103120,Moderate risk food holding temperature,Moderate Risk
5624,AT&T - DERBY GRILL Room 5311 [145154],24 WILLIE MAYS PLAZA 5.07.02,San Francisco,CA,94107,37.778382,-122.391151,"(37.778382, -122.391151)",14155971500,5624_20160814,8/14/2016 0:00,96,Routine - Unscheduled,5624_20160814_103120,Moderate risk food holding temperature,Moderate Risk
3522,Bow Hon Restaurant,850 Grant Ave,San Francisco,CA,94108,37.794958,-122.406367,"(37.794958, -122.406367)",,3522_20160412,4/12/2016 0:00,92,Routine - Unscheduled,3522_20160412_103120,Moderate risk food holding temperature,Moderate Risk
1942,S.F. Pizza,1270 Mission St.,San Francisco,CA,94103,37.776604,-122.414319,"(37.776604, -122.414319)",,1942_20160929,9/29/2016 0:00,81,Routine - Unscheduled,1942_20160929_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
37633,100% Dessert Cafe,2512 Clement St,San Francisco,CA,94121,37.781988,-122.486252,"(37.781988, -122.486252)",,37633_20160519,5/19/2016 0:00,72,Routine - Unscheduled,37633_20160519_103114,High risk vermin infestation,High Risk
39667,Peet's Coffee & Tea,595 Market St  Suite #143,San Francisco,CA,94105,37.789437,-122.401111,"(37.789437, -122.401111)",,39667_20160906,9/6/2016 0:00,96,Routine - Unscheduled,39667_20160906_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
67176,The Melt,1 Embarcadero Center,San Francisco,CA,94111,37.794588,-122.399642,"(37.794588, -122.399642)",,67176_20160414,4/14/2016 0:00,100,Routine - Unscheduled,,,
88090,Hwaro,4516 Mission St,San Francisco,CA,94112,,,,14155207904,88090_20160728,7/28/2016 0:00,,New Construction,,,
33700,Casa Guadalupe #3,2999 MISSION,San Francisco,CA,94110,37.749194,-122.418116,"(37.749194, -122.418116)",14155875145,33700_20141117,11/17/2014 0:00,90,Routine - Unscheduled,33700_20141117_103120,Moderate risk food holding temperature,Moderate Risk
59838,OTD,2232 Bush St,San Francisco,CA,94115,37.786988,-122.434074,"(37.786988, -122.434074)",14155929578,59838_20160531,5/31/2016 0:00,92,Routine - Unscheduled,59838_20160531_103133,Foods not protected from contamination,Moderate Risk
81134,Carmelina's Taqueria,500 Parnassus Ave,San Francisco,CA,94143,,,,14155501121,81134_20160127,1/27/2016 0:00,,Reinspection/Followup,81134_20160127_103131,Moderate risk vermin infestation,Moderate Risk
68963,West of Pecos,550 Valencia St,San Francisco,CA,94110,37.764087,-122.421881,"(37.764087, -122.421881)",14155257000,68963_20160412,4/12/2016 0:00,,Reinspection/Followup,,,
58673,New Luen Sing Fish Market,1207 Stockton St,San Francisco,CA,94133,37.796973,-122.408504,"(37.796973, -122.408504)",,58673_20160412,4/12/2016 0:00,71,Routine - Unscheduled,58673_20160412_103151,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk
66534,Midway Grill (Snack Shop),99 Harding Park Road,San Francisco,CA,94103,37.723698,-122.495289,"(37.723698, -122.495289)",,66534_20160413,4/13/2016 0:00,87,Routine - Unscheduled,66534_20160413_103120,Moderate risk food holding temperature,Moderate Risk
76,OMNI S.F. Hotel - 3rd Floor Pantry,"500 California St, 3rd Floor",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,76_20140612,6/12/2014 0:00,96,Routine - Unscheduled,76_20140612_103145,Improper storage of equipment utensils or linens,Low Risk
76,OMNI S.F. Hotel - 3rd Floor Pantry,"500 California St, 3rd Floor",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,76_20140612,6/12/2014 0:00,96,Routine - Unscheduled,76_20140612_103156,Permit license or inspection report not posted,Low Risk
77,OMNI S.F. Hotel - Employee Cafeteria,"500 California St, Basement",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,77_20140612,6/12/2014 0:00,94,Routine - Unscheduled,77_20140612_103156,Permit license or inspection report not posted,Low Risk
77,OMNI S.F. Hotel - Employee Cafeteria,"500 California St, Basement",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,77_20141124,11/24/2014 0:00,96,Routine - Unscheduled,77_20141124_103144,Unapproved or unmaintained equipment or utensils,Low Risk
77,OMNI S.F. Hotel - Employee Cafeteria,"500 California St, Basement",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,77_20141124,11/24/2014 0:00,96,Routine - Unscheduled,77_20141124_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
74760,Ghirardelli Chocolate,24 Wiilie Mays Pl #120,San Francisco,CA,94107,,,,,74760_20160814,8/14/2016 0:00,100,Routine - Unscheduled,,,
3267,The Olive Garden Italian,3251 20th Ave,San Francisco,CA,94132,37.728497,-122.475639,"(37.728497, -122.475639)",14155666770,3267_20161206,12/6/2016 0:00,,Complaint,3267_20161206_103138,Improper storage use or identification of toxic substances,Low Risk
81987,Celtic Coffee Company,142 McAllister St,San Francisco,CA,94102,,,,,81987_20160627,6/27/2016 0:00,83,Routine - Unscheduled,81987_20160627_103156,Permit license or inspection report not posted,Low Risk
81987,Celtic Coffee Company,142 McAllister St,San Francisco,CA,94102,,,,,81987_20160627,6/27/2016 0:00,83,Routine - Unscheduled,81987_20160627_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
85407,Fritas Taco Truck,501 Buckingham Way,San Francisco,CA,94132,,,,,85407_20160601,6/1/2016 0:00,85,Routine - Unscheduled,85407_20160601_103154,Unclean or degraded floors walls or ceilings,Low Risk
3241,SHENG KEE BAKERY,1941 IRVING St,San Francisco,CA,94122,37.76344,-122.478648,"(37.76344, -122.478648)",,3241_20160906,9/6/2016 0:00,86,Routine - Unscheduled,3241_20160906_103154,Unclean or degraded floors walls or ceilings,Low Risk
59025,Sushi Umi,132 Bush St,San Francisco,CA,94104,37.791308,-122.400134,"(37.791308, -122.400134)",,59025_20160608,6/8/2016 0:00,,Reinspection/Followup,,,
5268,SAN FRANCISCO MUSEUM OF MODERN ART,151 03rd St,San Francisco,CA,94103,37.785643,-122.401192,"(37.785643, -122.401192)",,5268_20160815,8/15/2016 0:00,87,Routine - Unscheduled,5268_20160815_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
79252,E & J Fine Meats,1706 Church St,San Francisco,CA,94122,,,,14155820515,79252_20160812,8/12/2016 0:00,,Non-inspection site visit,,,
70713,Uni's Deli,1200 VERMONT St,San Francisco,CA,94110,37.754258,-122.403535,"(37.754258, -122.403535)",,70713_20160503,5/3/2016 0:00,90,Routine - Unscheduled,70713_20160503_103154,Unclean or degraded floors walls or ceilings,Low Risk
59577,Pasta Moto of San Francisco Centre LLC,845 Market St FE6,San Francisco,CA,94103,37.784848,-122.406892,"(37.784848, -122.406892)",,59577_20160502,5/2/2016 0:00,72,Routine - Unscheduled,59577_20160502_103156,Permit license or inspection report not posted,Low Risk
5960,ST. ANNE,1320 14th Ave,San Francisco,CA,94122,37.763403,-122.471582,"(37.763403, -122.471582)",,5960_20160506,5/6/2016 0:00,92,Routine - Unscheduled,5960_20160506_103120,Moderate risk food holding temperature,Moderate Risk
87551,NoodleMe,333 Market St,San Francisco,CA,94105,,,,,87551_20160713,7/13/2016 0:00,,New Construction,,,
77840,Subway #61240,425 Battery St,San Francisco,CA,94111,,,,,77840_20160429,4/29/2016 0:00,100,Routine - Unscheduled,,,
87821,Shin Dig,403 Irving St,San Francisco,CA,94122,,,,14155967495,87821_20160525,5/25/2016 0:00,,New Construction,,,
74593,La Placita Mexicatessen,2531 San Bruno Ave,San Francisco,CA,94134,,,,,74593_20161110,11/10/2016 0:00,84,Routine - Unscheduled,74593_20161110_103147,Inadequate ventilation or lighting,Low Risk
76826,Wing Lee Bakery,503 Clement St,San Francisco,CA,94118,,,,,76826_20160518,5/18/2016 0:00,79,Routine - Unscheduled,76826_20160518_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
65649,Krua Thai Kitchen,3214 16th St,San Francisco,CA,94103,37.764788,-122.424462,"(37.764788, -122.424462)",,65649_20161206,12/6/2016 0:00,90,Routine - Unscheduled,65649_20161206_103120,Moderate risk food holding temperature,Moderate Risk
2766,TAQUERIA GUADALAJARA,4798 MISSION,San Francisco,CA,94112,37.721191,-122.43755,"(37.721191, -122.43755)",14155552785,2766_20161021,10/21/2016 0:00,,Reinspection/Followup,,,
5457,AT&T - (CART 39) DOGGIE DINER v [145126],24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,,14155971500,5457_20160814,8/14/2016 0:00,96,Routine - Unscheduled,5457_20160814_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
63943,OMI Senior Center,65 Beverly St,San Francisco,CA,94132,37.717298,-122.471709,"(37.717298, -122.471709)",,63943_20160509,5/9/2016 0:00,100,Routine - Unscheduled,,,
76230,AT&T PARK - Coffee Bar & Ice Cream,24 Willie Mays Plaza,San Francisco,CA,94107,,,,,76230_20160814,8/14/2016 0:00,100,Routine - Unscheduled,,,
87099,Corridor,100 Van Ness Ave #A,San Francisco,CA,94102,,,,,87099_20161110,11/10/2016 0:00,94,Routine - Unscheduled,87099_20161110_103157,Food safety certificate or food handler card not available,Low Risk
69353,Aria,932 Larkin St,San Francisco,CA,94109,37.786565,-122.418116,"(37.786565, -122.418116)",,69353_20160907,9/7/2016 0:00,86,Routine - Unscheduled,69353_20160907_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
58850,Woerner's Liquor,901 Geary St,San Francisco,CA,94109,37.786053,-122.418327,"(37.786053, -122.418327)",,58850_20160906,9/6/2016 0:00,79,Routine - Unscheduled,58850_20160906_103156,Permit license or inspection report not posted,Low Risk
32586,Terroir,81 Langton St,San Francisco,CA,94103,37.776494,-122.408562,"(37.776494, -122.408562)",14155718949,32586_20160906,9/6/2016 0:00,96,Routine - Unscheduled,32586_20160906_103144,Unapproved or unmaintained equipment or utensils,Low Risk
5523,AT&T Park - Coffee and Ice Cream (5A+5B),24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,,,5523_20160814,8/14/2016 0:00,,Non-inspection site visit,,,
80598,Jade Chocolates,4207 Geary Blvd,San Francisco,CA,94118,,,,14155938719,80598_20141202,12/2/2014 0:00,,New Construction,,,
4999,HARVEST MARKET,2285 MARKET St,San Francisco,CA,94114,37.764607,-122.432452,"(37.764607, -122.432452)",14155620805,4999_20161003,10/3/2016 0:00,77,Routine - Unscheduled,4999_20161003_103103,High risk food holding temperature,High Risk
